Brasil, Grande Regiao e Unidade da Federativa;2018;2019;2020;2021;2022
Brasil;208494900;210147125;211755692;213317639;203080756
Norte;18182253;18430980;18672591;18906962;17354884
Nordeste;56760780;57071654;57374243;57667842;54658515
Sudeste;87711946;88371433;89012240;89632912;84840113
Sul;29754036;29975984;30192315;30402587;29937706
Centro-Oeste ;16085885;16297074;16504303;16707336;16289538
Rondônia;1757589;1777225;1796460;1815278;1581196
Acre;869265;881935;894470;906876;830018
Amazonas;4080611;4144597;4207714;4269995;3941613
Roraima;576568;605761;631181;652713;636707
Pará;8513497;8602865;8690745;8777124;8120131
Amapá;829494;845731;861773;877613;733759
Tocantins;1555229;1572866;1590248;1607363;1511460
Maranhão;7035055;7075181;7114598;7153262;6776699
Piaui;3264531;3273227;3281480;3289290;3271199
Ceará;9075649;9132078;9187103;9240580;8794957
Rio Grande do Norte;3479010;3506853;3534165;3560903;3302729
Paraíba;3996496;4018127;4039277;4059905;3974687
Pernambuco;9496294;9557071;9616621;9674793;9058931
Alagoas;3322820;3337357;3351543;3365351;3127683
Sergipe;2278308;2298696;2318822;2338474;2210004
Bahia;14812617;14873064;14930634;14985284;14141626
Minas Gerais;21040662;21168791;21292666;21411923;20539989
Espírito Santo;3972388;4018650;4064052;4108508;3833712
Rio de Janeiro;17159960;17264943;17366189;17463349;16055174
São Paulo;45538936;45919049;46289333;46649132;44411238
Paraná;11348937;11433957;11516840;11597484;11444380
Santa Catarina;7075494;7164788;7252502;7338473;7610361
Rio Grande do Sul;11329605;11377239;11422973;11466630;10882965
Mato Grosso do Sul;2748023;2778986;2809394;2839188;2757013
Mato Grosso;3441998;3484466;3526220;3567234;3658649
Goiás;6921161;7018354;7113540;7206589;7056495
Distrito Federal;2974703;3015268;3055149;3094325;2817381
